id,ndp_exp2_average_activation_time
42203,1.0
1176801,1.0
3258511,1.0
7312992,1.0
7562042,1.0
7922582,1.0
8820062,1.0
9356072,1.0
9575562,1.0
9814812,1.0
9917992,1.0
10155832,1.0
10475892,1.0
10755322,2.0
11423372,1.0
12034642,1.0
12933152,1.0
13880132,1.0
14079041,0.0
14116980,1.0
14165217,1.0
14265343,2.0
14422995,2.0
14501713,1.0
14799078,2.0
14837621,1.0
14991184,1.0
15022678,1.0
15033684,1.0
15099646,1.0
15206059,1.0
15275330,1.0
15352498,1.0
15371526,1.0
15619857,1.0
15633240,1.0
15702055,1.0
15892547,1.0
15927859,1.0
16083660,2.0
16135612,1.0
16170023,1.0
16173081,1.0
16189107,1.0
16213179,1.0
16220555,1.0
16260741,1.0
16271356,1.0
16301087,1.0
16398559,1.0
16399202,1.0
16422863,1.0
16638708,1.0
16645396,1.0
16744663,1.0
16788781,1.0
17076793,1.0
17221430,1.0
17238899,1.0
17280115,2.0
17300548,1.0
17388526,1.0
17670732,1.0
17702445,1.0
17795257,1.0
17874869,1.0
17900758,1.0
17912334,1.0
18108896,1.0
18163138,1.0
18308257,1.0
18377235,1.0
18383003,1.0
18418465,1.0
18463733,1.0
18681111,0.0
19557595,1.0
19602163,1.0
19853321,1.0
20098677,1.0
20346252,1.0
20395112,1.0
20442664,1.0
20745003,1.0
20750271,1.0
21056196,1.0
21108458,1.0
21351268,1.0
21508112,1.0
21632994,1.0
22116705,1.0
22302066,1.0
22447958,1.0
22523896,1.0
23370368,1.0
23371273,1.0
23424817,1.0
23510621,1.0
23937700,1.0
24219018,1.0
24573102,1.0
24805185,1.0
24979228,1.0
25209036,1.0
25314619,1.0
25393191,1.0
25813888,2.0
26186692,1.0
26498121,1.0
26593129,1.0
26840937,1.0
27013422,1.0
27101995,2.0
27371671,1.0
27388441,1.0
27740019,1.0
28206390,1.0
28927228,1.0
29304563,1.0
29545977,1.0
30089706,1.0
30368137,1.0
32602930,1.0
32733640,1.0
34560347,1.0
34774986,1.0
35089753,1.0
35112456,1.0
35235926,1.0
35692915,2.0
36111440,1.0
36281810,1.0
36395646,1.0
36422158,2.0
36471917,1.0
36488911,1.0
36758722,1.0
36877221,1.0
37552089,1.0
37597963,1.0
38042361,1.0
38221378,1.0
38471212,1.0
39288111,1.0
39614857,1.0
39822897,1.0
39977710,1.0
40216315,1.0
40537685,1.0
40697478,1.0
40729467,1.0
41239526,1.0
41378883,1.0
42232039,1.0
44361737,1.0
44539994,1.0
45113982,1.0
45226179,1.0
45672815,1.0
45868481,1.0
45950539,1.0
46214091,1.0
46975259,1.0
47022386,1.0
47279641,1.0
48457183,1.0
49660950,1.0
50503401,1.0
51184630,1.0
51398426,2.0
51514769,2.0
52003137,1.0
52245251,1.0
53066212,1.0
53452624,1.0
53754232,1.0
53772503,2.0
53807352,1.0
54426656,1.0
54650770,1.0
56134750,1.0
56164450,1.0
56212232,1.0
56541037,1.0
56556726,1.0
56568168,1.0
59342468,1.0
59639693,1.0
59686058,0.0
59835490,1.0
60971504,1.0
61018115,1.0
61529217,1.0
63826204,1.0
63863473,1.0
64434700,1.0
67171013,1.0
67278150,1.0
67662683,1.0
68279581,1.0
68599588,1.0
68966030,1.0
69712457,1.0
70499348,1.0
70750793,1.0
71464042,1.0
72339761,1.0
74211986,1.0
74276700,1.0
74937543,1.0
75841164,1.0
76238276,1.0
76264942,1.0
77254498,1.0
77596220,1.0
78084063,1.0
78429753,1.0
78641250,1.0
78955632,2.0
79121813,1.0
80728527,1.0
83153695,1.0
84734389,1.0
86861008,1.0
87863020,1.0
88036806,1.0
89155640,1.0
92864186,1.0
92905504,1.0
94712187,1.0
96446389,2.0
98019343,1.0
100874975,1.0
101905063,1.0
102532798,1.0
102887506,1.0
103031465,1.0
104300984,1.0
104585835,1.0
106100935,1.0
107900713,1.0
110460722,1.0
112548739,1.0
112903588,1.0
113754405,2.0
114590651,1.0
117562974,1.0
117589552,1.0
118937966,1.0
119609883,1.0
119818129,1.0
120139457,1.0
121932886,1.0
122053347,1.0
122130825,1.0
123910630,1.0
127369948,1.0
128586397,2.0
129849617,1.0
132210296,1.0
132989977,1.0
138077463,1.0
138839349,1.0
139261738,1.0
141266091,1.0
142402651,2.0
144876537,1.0
145058470,1.0
145757413,1.0
146093582,2.0
149004101,1.0
149701807,1.0
150270263,1.0
154271777,1.0
155629527,1.0
155777848,1.0
160429871,1.0
161121771,1.0
164368721,1.0
169237647,1.0
169277762,1.0
169670184,1.0
171076111,1.0
172352150,2.0
173833508,1.0
175259033,0.0
176398351,1.0
178674627,2.0
185290543,1.0
186172136,1.0
191915993,1.0
193721508,1.0
196717787,0.0
198755506,1.0
205091914,1.0
205366389,1.0
206296054,1.0
212463932,1.0
214875221,1.0
215632349,0.0
216438127,1.0
217610069,1.0
221355278,1.0
222265111,1.0
222987791,1.0
224600898,1.0
224723351,1.0
224737149,1.0
226666386,1.0
228977093,1.0
231146728,1.0
232652583,2.0
237020420,1.0
237720914,1.0
238446507,1.0
238865666,1.0
242063148,1.0
242533078,1.0
244108520,1.0
245651739,1.0
246116520,1.0
246380006,1.0
246667561,1.0
246811073,1.0
247487340,2.0
248891184,1.0
248911548,1.0
250170548,1.0
250414494,1.0
250804618,1.0
250839952,1.0
251332947,2.0
252073146,1.0
252399534,1.0
252770855,1.0
252875042,1.0
253086457,1.0
255067647,1.0
256069692,1.0
258405050,1.0
258916078,1.0
259116532,1.0
259388196,1.0
263163489,1.0
263288756,1.0
264488661,1.0
266580278,1.0
267941120,1.0
268469213,1.0
268573963,1.0
270986351,1.0
271504586,1.0
271989352,2.0
272133230,1.0
272677124,1.0
273683993,1.0
274633701,1.0
275979196,2.0
276093811,1.0
276258166,1.0
277585663,1.0
278882082,1.0
279195976,1.0
279748443,1.0
280831905,1.0
281289042,1.0
281587128,2.0
286723230,1.0
288495993,1.0
291336460,1.0
293403080,1.0
293588108,1.0
294539923,1.0
295386584,1.0
297020666,1.0
299993498,1.0
300629341,1.0
301144504,1.0
302593437,1.0
302984766,2.0
305001163,1.0
305945328,1.0
306967462,1.0
307324209,1.0
310425304,1.0
312422268,1.0
314093378,1.0
316245912,1.0
322832745,1.0
323950660,1.0
326461319,1.0
327394273,1.0
329294962,1.0
331864347,1.0
334294620,1.0
335759893,1.0
341866567,0.0
342168708,1.0
342176065,2.0
342281222,1.0
343554388,1.0
343626865,1.0
343627226,1.0
343681064,2.0
351013017,1.0
351155835,1.0
351739406,1.0
354964895,1.0
358143304,1.0
361933684,1.0
363862398,2.0
365473506,3.0
365780558,1.0
366171300,2.0
366225624,1.0
370526520,1.0
372577100,1.0
374102478,1.0
374654206,1.0
375303344,1.0
376391827,1.0
377588094,0.0
378602976,1.0
382210860,1.0
382935719,1.0
384051609,1.0
385235958,1.0
386072477,1.0
389705011,1.0
393348427,1.0
396745864,1.0
403643684,1.0
404256223,1.0
404349157,1.0
414275183,1.0
416468980,1.0
421482494,2.0
425318753,1.0
427818013,1.0
431673426,1.0
436260090,1.0
437658020,1.0
439313680,1.0
440923660,1.0
441289118,1.0
442162382,1.0
446471174,1.0
458631280,1.0
461027370,1.0
461498536,1.0
461741892,1.0
462128118,1.0
463433398,1.0
465916525,1.0
466832463,1.0
467664297,1.0
467817388,1.0
469671065,1.0
471625743,1.0
476484031,1.0
479862010,1.0
487857297,1.0
491779798,1.0
492257051,2.0
495159064,1.0
495918203,1.0
497526888,1.0
510602178,1.0
511037012,2.0
511299034,2.0
514482028,1.0
516604259,1.0
519883595,1.0
523351475,1.0
524590563,1.0
525857359,1.0
525910396,1.0
526957006,1.0
529665584,1.0
536594609,2.0
536853804,1.0
538684370,1.0
546527413,2.0
549598823,1.0
558330112,1.0
560765411,1.0
560903736,1.0
563064119,1.0
563682660,1.0
566020335,1.0
568769809,1.0
570078368,2.0
571149651,1.0
575698060,1.0
582379571,2.0
590154066,1.0
590165011,1.0
591383718,1.0
596787864,2.0
601555458,1.0
602083976,1.0
608316391,1.0
608694463,1.0
609432652,1.0
613073821,1.0
616598562,2.0
624619918,1.0
624883194,1.0
624962704,1.0
625193066,1.0
629539554,1.0
635207814,1.0
700994268,1.0
703436516,1.0
741563432,1.0
744530425,1.0
760497115,1.0
766360387,1.0
778920158,2.0
794664236,1.0
803464596,1.0
811549418,1.0
812016294,2.0
814289414,1.0
814493144,2.0
817580826,1.0
820394508,1.0
844452866,1.0
846667915,1.0
854874115,1.0
866416675,1.0
868994263,1.0
871074475,1.0
872156101,2.0
872810605,1.0
874599972,1.0
881426857,1.0
942370814,1.0
946126124,2.0
960897097,1.0
961514730,1.0
963133478,1.0
965262703,1.0
1024651602,2.0
1025381606,1.0
1031531706,1.0
1033285939,1.0
1041561337,1.0
1088465473,2.0
1104422828,1.0
1104945319,1.0
1126462440,1.0
1160209698,1.0
1172366414,1.0
1186606184,1.0
1196233544,1.0
1197864396,1.0
1201882182,1.0
1205581352,1.0
1219923578,1.0
1225685834,1.0
1241938664,1.0
1246570008,1.0
1270383308,1.0
1281660648,1.0
1282257536,1.0
1283648018,1.0
1305697758,1.0
1353027698,1.0
1357931292,1.0
1361822936,1.0
1362286033,2.0
1367957858,1.0
1377425540,1.0
1380591152,1.0
1385785302,1.0
1390184486,1.0
1395062400,1.0
1395092719,1.0
1396121088,1.0
1418601386,1.0
1421932208,1.0
1438300010,1.0
1447429249,1.0
1447951549,1.0
1459578954,1.0
1483413924,1.0
1486136467,1.0
1498285502,2.0
1508110801,1.0
1511667030,1.0
1529643188,1.0
1545053600,2.0
1577656471,1.0
1582129344,1.0
1594767902,1.0
1595223594,1.0
1612782462,1.0
1638607153,2.0
1643827760,1.0
1660911480,1.0
1661182770,1.0
1663428859,1.0
1691207420,1.0
1699266222,1.0
1705708466,1.0
1729193269,1.0
1729978615,1.0
1852773120,1.0
1874119104,1.0
1880517650,1.0
1887595058,1.0
1890389540,2.0
1894669172,1.0
1923754400,1.0
1927067096,1.0
1932563430,1.0
1945413174,1.0
1965727063,1.0
1965901333,1.0
2159143291,1.0
2165369432,2.0
2166755307,1.0
2167166754,1.0
2171336220,1.0
2174624728,1.0
2190688044,1.0
2192354906,1.0
2193211639,1.0
2194496264,1.0
2201466604,1.0
2211020226,1.0
2219828840,1.0
2221666722,2.0
2253795524,1.0
2254247360,1.0
2256955027,1.0
2262160692,1.0
2262304373,1.0
2271466230,1.0
2275007473,1.0
2275886439,1.0
2278652731,2.0
2289086672,1.0
2291616902,1.0
2292642554,1.0
2306023107,1.0
2308999809,1.0
2312086998,1.0
2334251844,1.0
2337057565,1.0
2340561200,1.0
2341257349,1.0
2345872214,1.0
2347314541,1.0
2369738982,1.0
2373123864,1.0
2380853546,1.0
2395405134,1.0
2400409201,1.0
2407372861,1.0
2414991108,1.0
2430047892,1.0
2434162616,1.0
2437928781,1.0
2439928526,1.0
2440810478,1.0
2452510988,1.0
2456090006,1.0
2458783644,1.0
2459208067,1.0
2459730643,1.0
2462641501,1.0
2465329364,1.0
2466115268,1.0
2469606308,1.0
2478837301,2.0
2493477740,1.0
2504419224,2.0
2504541775,1.0
2552770807,1.0
2555669810,1.0
2557859383,1.0
2560632538,1.0
2562583105,1.0
2568029796,1.0
2569323896,1.0
2573566824,1.0
2577520962,2.0
2579229572,1.0
2580524542,1.0
2586530690,1.0
2600741635,1.0
2612807188,1.0
2640946469,1.0
2649268477,1.0
2651714172,1.0
2693638711,2.0
2694371191,2.0
2699710783,1.0
2710528980,1.0
2711875642,1.0
2715275551,0.0
2730870751,1.0
2752659114,1.0
2764314803,1.0
2776775090,2.0
2785990732,2.0
2796774360,1.0
2797935107,1.0
2803615777,1.0
2807874943,1.0
2813399220,2.0
2814653607,1.0
2814976597,1.0
2821464243,1.0
2824020340,1.0
2828187289,1.0
2830877802,1.0
2861279433,1.0
2869430815,1.0
2871728962,1.0
2872976578,1.0
2885769910,1.0
2886941025,1.0
2887544220,1.0
2896012540,1.0
2903614908,1.0
2904548296,1.0
2905252436,1.0
2923254216,1.0
2924898800,1.0
2931322335,1.0
2947794802,1.0
2968507103,1.0
2993775174,1.0
3007830927,1.0
3015944460,1.0
3021899490,1.0
3037899209,1.0
3053107588,1.0
3069762388,1.0
3096625250,1.0
3112228915,1.0
3133994786,1.0
3135148227,1.0
3146202635,2.0
3148281878,1.0
3165242127,1.0
3179422780,1.0
3180619280,1.0
3187125694,2.0
3213941327,1.0
3218932860,1.0
3236365296,1.0
3250066182,1.0
3254400099,1.0
3285693150,2.0
3290159069,2.0
3299469609,1.0
3300693633,1.0
3304522599,1.0
3305969806,1.0
3310729620,1.0
3313678069,1.0
3314912109,1.0
3333795492,1.0
3351916392,1.0
3372677836,1.0
3400323767,1.0
3418465993,1.0
3418588623,1.0
3492639915,1.0
3539962880,1.0
3558926597,1.0
3586975572,1.0
3632851392,1.0
3635505735,1.0
3675933919,1.0
3676427473,1.0
3997936454,1.0
4018846452,1.0
4024032261,1.0
4168143058,1.0
4269803603,1.0
4308416115,1.0
4516921234,1.0
4719872722,1.0
4752522058,1.0
4775862446,1.0
4800864314,1.0
4819639768,1.0
4880637512,1.0
4922698441,1.0
702598323958620163,1.0
704798725747531776,2.0
705142279728664576,1.0
715394299207090179,1.0
718082561596067840,1.0
726839398373838848,1.0
727212809948401664,1.0
727878818246070275,2.0
728594002606428161,1.0
730780438269206528,1.0
730797462991065088,1.0
730826158258946050,1.0
744559800877342730,1.0
745995126263193601,2.0
750275313846935552,1.0
753638148958216192,1.0
756909131533922304,1.0
756953808131858432,1.0
758042170968375296,1.0
760257132675600386,1.0
768559569891012608,1.0
771389564736905216,1.0
771466526348107776,1.0
771715827800342528,1.0
778792652644818944,2.0
779175673264902144,1.0
780111689626681344,1.0
788806262045732864,1.0
795627516878852096,1.0
797133264716754944,1.0
803502925209178112,1.0
804810092302503936,1.0
813058232797237248,2.0
815428708144218112,1.0
816758120819015680,1.0
818467340895522817,1.0
818660875259277313,1.0
819185162479144960,1.0
819279657187086336,1.0
821066393143672836,1.0
822810047025659904,1.0
823317383838253056,1.0
823680319274381312,1.0
824357739501531136,1.0
825925386110382080,1.0
830585528961495040,1.0
838066498782519298,1.0
840697793618550787,1.0
842121813278752768,1.0
846920964113870848,1.0
847251704068190208,1.0
856686343144955904,1.0
864910325321265153,2.0
865300797130764288,1.0
865566329247608832,1.0
869639001400942592,1.0
871189841186357248,1.0
872885192590884865,1.0
873624924711256064,1.0
875672733752987649,1.0
876479489500487681,1.0
877347579180220417,1.0
884265045479313408,1.0
885644906915663872,1.0
885811180278661120,1.0
891058415195303939,1.0
896453296059146240,1.0
897094186213588992,1.0
900031843080192000,1.0
900412752832978944,1.0
907302868645953537,1.0
912657193941553153,1.0
915577980092641280,1.0
917122313837039616,1.0
920307650402775041,1.0
922963142300143616,1.0
928790819145842688,1.0
929856990934790144,1.0
939007961388662784,1.0
943892192447344641,1.0
946092660795744256,1.0
952980338745147394,1.0
954431291629473794,1.0
958043434568134656,1.0
959432437754421249,2.0
960624707820113920,1.0
961001501513699328,1.0
962255435766968322,1.0
962424351596281856,1.0
965478102594863104,2.0
965974299470385154,1.0
970054179459919873,1.0
971857794826567680,1.0
973491119433572352,1.0
975519759105060864,1.0
975860978830028801,1.0
976143225927839744,1.0
978535635085504512,1.0
979827806023618560,1.0
981229378825801728,1.0
982017242354388992,1.0
982630470008553474,1.0
983448844041060352,1.0
986519394997039104,1.0
989298765163937792,1.0
989507174094262278,1.0
994221357071089664,2.0
996245368416407553,1.0
998590102573023232,2.0
998962971517898754,1.0
1008888246640762880,1.0
1009115210546929664,1.0
1010557821614739456,1.0
1012406984719470592,1.0
1015928973732114435,1.0
1016486686958739457,1.0
1017842910740410368,1.0
1024021327756382209,1.0
1026468656195227649,1.0
1030546808743841794,2.0
1040629333210148865,1.0
1044778781230039042,1.0
1045369159578574850,1.0
1047194401011900416,1.0
1050404170195333121,1.0
1051514280749752321,1.0
1057723606027792385,1.0
1064324514513702912,1.0
1064964294448750595,2.0
1066847336050147329,1.0
1072892244011700224,1.0
1080529497152278528,1.0
1081375274472591361,1.0
1085244786897027072,2.0
1088545656002801664,1.0
1091450434500341761,1.0
1095173919491780608,2.0
1095219121447301120,1.0
1095768409449459712,1.0
1096251117745332226,1.0
1098567360330502144,1.0
1100509588175097860,1.0
1107013222853304320,1.0
1109141736972939264,1.0
1109676125490499584,1.0
1113547517105528833,1.0
1114536540586348551,1.0
1117035592565628928,1.0
1120045145276198914,1.0
1120085915710263297,1.0
1121808544377053185,1.0
1122573500248510464,1.0
1123047281618505729,1.0
1123297838333603840,1.0
1138564320390836224,1.0
1139932775388049414,1.0
1142048265346715649,1.0
1144689874424999937,1.0
1144704604442988544,1.0
1145662294849990656,1.0
1147137986431258624,1.0
1151231204923977729,1.0
1153463878195589125,1.0
1155208255066558475,1.0
1157395568135557120,1.0
1158232790934048768,1.0
1160029264022003712,1.0
1161351506983038976,1.0
1161649331214200834,1.0
1162020975187288064,1.0
1162145379011518465,1.0
1163464930223435777,2.0
1164864823882067968,1.0
1171095411307753472,1.0
1173083481536159744,1.0
1174774009361260553,1.0
1177367344164888580,1.0
1177551303725240322,1.0
1178019071821877250,1.0
1180991940042661888,1.0
1181986921079287809,1.0
1185936230393024512,1.0
1187944161464475648,2.0
1194310568200548352,1.0
1197389912821116929,1.0
1199890847954882560,1.0
1204829532529803265,1.0
1207489601805455363,1.0
1214368702277308421,1.0
1218987476112543744,1.0
1225234537111683072,1.0
1225848216467509248,1.0
1227171998356443136,1.0
1227766472921014272,1.0
1228018552428466176,1.0
1229442788623818752,1.0
1232369847134121986,1.0
1232471924145577985,1.0
1232835905616011264,1.0
1235344992765448193,1.0
1236439017433989122,1.0
1237226500413407232,1.0
1239007657803026432,1.0
1239564608941113347,1.0
1239567083404292097,1.0
1240213307908390912,1.0
1240478580510871552,1.0
1240872856508137472,1.0
1242517797621530625,1.0
1242522201770856449,1.0
1242970742347702272,1.0
1244629107624689664,1.0
1249738426792005640,1.0
1250830543119319042,1.0
1251137320289525760,1.0
1251989186862866433,1.0
1252040788982169600,1.0
1252976493971595265,1.0
1253397325893873665,1.0
1257536517141966848,1.0
1257715438336700417,1.0
1258440535402065920,1.0
1258501542933483520,1.0
1263128428909223936,1.0
1264712331457638400,1.0
1265350869391781888,1.0
1265835600923357185,1.0
1265853916077527042,1.0
1266371396847890439,2.0
1273760349167276034,1.0
1274006014019481600,1.0
1279157580799983617,1.0
1279605491270733824,1.0
1280589273335500801,1.0
1283460034182209537,1.0
1286102971974025217,1.0
1286866100328824832,2.0
1287896006550589442,1.0
1293510025680478208,1.0
1295281472224538625,1.0
1299517391240671233,1.0
1300309398166949889,1.0
1300849593358471170,1.0
1302625101075156994,1.0
1308274897630777344,1.0
1310374181687537664,1.0
1310724884008321028,1.0
1311359699183439872,1.0
1311896805920043009,1.0
1318231497174880259,1.0
1318741345905922048,1.0
1326000340018270208,1.0
1326306504027287554,1.0
1329086628397158409,1.0
1329165444218056704,1.0
1329430334195208192,1.0
1329460132967821314,1.0
1333030975681536000,1.0
1333910351696461830,1.0
1334589021951991809,2.0
1335769353124343808,1.0
1336451673053679620,1.0
1337648276733124610,1.0
1337783599446286338,1.0
1338157627453427713,1.0
1338474046095233026,1.0
1339998018309918721,1.0
1340517896854904832,1.0
1346317368637603841,1.0
1347654502787076096,1.0
1347801793930035200,1.0
1348675178318893056,2.0
1351286814313738243,1.0
1351940525633400834,1.0
1356397585179828229,1.0
1358953654204723202,1.0
1362218598849208320,1.0
1363912931151384588,1.0
1364756283186905089,1.0
1368321380555530243,2.0
1369385038664658954,1.0
1373435309782822912,1.0
1375846488031432705,1.0
1379486103707746306,1.0
1380278410736439302,1.0
1380673186505850881,2.0
1382405059670081540,1.0
1382439377406722048,1.0
1382749548578234370,1.0
1384893312797003781,1.0
1384941248620990465,1.0
1385344932378923009,1.0
1386140085058367489,1.0
1386793782683652096,1.0
1389668038593634306,1.0
1392927838001459201,1.0
1396107226608283649,1.0
1396272483309862913,1.0
1397377294990258180,1.0
1403372126304866305,1.0
1404590411847405568,1.0
1407372687316590594,1.0
1408262420640960512,1.0
1410832490701467650,1.0
1414597315344490499,1.0
1415746394871189504,1.0
1416101066580627464,1.0
1419756165055975441,1.0
1420446766869225478,1.0
1423258513665581061,2.0
1423672567869624322,1.0
1424797446845173778,1.0
1427044343005818885,1.0
1427351911410257934,1.0
1428151019981180932,1.0
1429513454491164676,1.0
1429976728894574594,2.0
1430883215439540230,1.0
1432511719620988929,1.0
1432592905055653889,1.0
1436412482386550784,1.0
1438871779779530755,1.0
1439240496921161733,1.0
1440828246132596736,1.0
1441302197409435648,2.0
1442989306256113667,1.0
1443532517164785664,1.0
1444458812614709250,1.0
1446352422272528385,1.0
