1446144017792704514,1385933370090209280
1446144017792704514,1416535505454338050
1446098575071535115,1416535505454338050
1445480403997843463,1416535505454338050
1445410242154713092,544695802
1445410242154713092,716257068538327040
1445410242154713092,258170457
1445389606761943043,1416535505454338050
1445389606761943043,2817389862
1445389606761943043,822476228548403200
1443931320325918723,2353730881
1443648921566433290,921026239808208896
1443648921566433290,720934098223542272
1443648921566433290,2922779039
1443302340463837198,552891173
1443274949624483843,982496635
1443214682840608783,1433403537329819654
1442973242348617732,1175052073605353473
1440360793225129991,2784661153
1448648532118827021,1378008435749318658
1448648532118827021,1318741345905922048
1448648532118827021,1223049783306113024
1448648532118827021,327533387
1445763235249070081,102887506
1445763235249070081,952980338745147394
1445763235249070081,1438871779779530755
1445763235249070081,46975259
1445763235249070081,1157395568135557120
1445763235249070081,563064119
1440372012837343234,979827806023618560
1440372009096024065,18308257
1440372009096024065,979827806023618560
1440372009096024065,846667915
1440372009096024065,258916078
1440372009096024065,1138564320390836224
1440061358259638273,17912334
1440061358259638273,2821464243
1440061358259638273,928790819145842688
1440021091620032514,753638148958216192
1440013151060172802,2256955027
1440013151060172802,1185936230393024512
1440013151060172802,3021899490
1440013151060172802,2821464243
1440013151060172802,13880132
1440013151060172802,960624707820113920
1440013151060172802,52003137
1440013151060172802,1887595058
1440013151060172802,331864347
1440013151060172802,961514730
1440013151060172802,70750793
1440012199401910272,13880132
1440012199401910272,155629527
1440012199401910272,1161351506983038976
1440012199401910272,766360387
1440012199401910272,150270263
1440012199401910272,38471212
1440012199401910272,83153695
1440012199401910272,118937966
1439920329472679940,871189841186357248
1439917311910035463,293403080
1439917311910035463,629539554
1439917311910035463,1104422828
1439917311910035463,602083976
1439917311910035463,1311896805920043009
1439917311910035463,1318741345905922048
1439917311910035463,1185936230393024512
1439917311910035463,25314619
1439917311910035463,104300984
1439917311910035463,15702055
1439917311910035463,1153463878195589125
1439917311910035463,15633240
1439917311910035463,14991184
1439917311910035463,1242522201770856449
1451337482725847040,1387765867623092231
1451337482725847040,468732172
1451337482725847040,1356004331737079809
1451337482725847040,373514891
1451337482725847040,66051981
1451337482725847040,1440522413687521295
1451337482725847040,836617405392633861
1451337482725847040,2437928781
1451337482725847040,978622974
1451337482725847040,265073202
1451337482725847040,4468041618
1451337482725847040,362735339
1451337482725847040,125467653
1451337482725847040,608835608
1451337482725847040,1250802866953916418
1451337482725847040,1025747676762173440
1451337482725847040,44438427
1451337482725847040,1236686771628519424
1451337482725847040,1248622516819517442
1451337482725847040,1329073918871699456
1451337482725847040,1242614786959040514
1451337482725847040,232187050
1451337482725847040,17854296
1451337482725847040,2655180373
1446468666988498948,1440522413687521295
1446468666988498948,1292608204845834241
1446468666988498948,1446846657551683588
1446468666988498948,1389700907697270787
1446468666988498948,1445880242707570691
1446468666988498948,1545912997
1446468666988498948,831084798621782016
1446468666988498948,55976571
1446468666988498948,305401065
1446468666988498948,704798725747531776
1446468666988498948,4744498950
1446468666988498948,766759351973404672
1446468666988498948,47781573
1446468666988498948,994077337
1446468666988498948,14055736
1445535582294196225,1236010900693356549
1445535582294196225,1171683272
1445535582294196225,1338338931792756737
1445535582294196225,704798725747531776
1445535582294196225,562243642
1445535582294196225,15772683
1445535582294196225,994077337
1445535582294196225,1251340447387172868
1445535582294196225,1350484767255519233
1445535582294196225,1335046616697372675
1445535582294196225,20750271
1445535582294196225,130909683
1445535582294196225,1364261390614106113
1445535582294196225,44416854
1445535582294196225,1511003670
1444027621520510979,536594609
1444027621520510979,44416854
1444027621520510979,273683993
1440677892065611777,1236010900693356549
1440677892065611777,1445880242707570691
1440677892065611777,1156602559378804741
1440677892065611777,1156033982586208256
1440677892065611777,139819609
1440677892065611777,766759351973404672
1440677892065611777,413514250
1440677892065611777,1189800120
1440677892065611777,138418077
1440677892065611777,382489139
1440677892065611777,374300583
1440677892065611777,3226840807
1440677892065611777,133863908
1440677892065611777,994077337
1448680395600502787,1417929933800751104
1448680395600502787,41153132
1448680395600502787,1447315781289750532
1448382669159641093,57127265
1448382669159641093,1417929933800751104
1448382669159641093,55823004
1447925080898609171,1447315781289750532
1446499892382343202,1447315781289750532
1446499892382343202,14262411
1451973495701786632,561078898
1451973495701786632,119797208
1451973495701786632,1852773120
1451973495701786632,845487573011173380
1451615674028150784,268824309
1451551402799640581,237572596
1451551402799640581,1354427500697427969
1451551402799640581,3937245378
1451551402799640581,77283552
1451551402799640581,138077463
1451551402799640581,1304440943341449218
1451551402799640581,194553939
1451551402799640581,120320139
1451224292050575365,324602007
1451224292050575365,986808894700732416
1451224292050575365,785448020628430849
1451192810716098570,299228245
1451192810716098570,120320139
1451192810716098570,785448020628430849
1451192810716098570,77283552
1450901799251087364,939373854
1450901799251087364,194553939
1450901799251087364,1419735463187845120
1450901799251087364,3303438653
1450901799251087364,1129032126181994496
1450831702100688896,95209129
1450831702100688896,194553939
1450831702100688896,120320139
1450831702100688896,77283552
1450452995574018051,1300619672916824065
1450276369951297538,489767142
1450276369951297538,119797208
1450276369951297538,845487573011173380
1450276369951297538,1304440943341449218
1450276369951297538,785448020628430849
1450276369951297538,268824309
1450222129526497283,244204227
1450222129526497283,93984265
1450190406776406027,119797208
1450189917737439239,119797208
1450106383643385857,225623703
1450106383643385857,2834753506
1450106383643385857,87898022
1450106383643385857,15957472
1450106383643385857,785448020628430849
1450106383643385857,112651319
1450106383643385857,138077463
1450106383643385857,986808894700732416
1450106383643385857,1129203001
1450106383643385857,268824309
1450106383643385857,272054403
1450092574375649285,1078344614
1450092574375649285,1367635288021991427
1450092574375649285,1024397417423106048
1450088484472074240,119797208
1450088484472074240,1425547761123045377
1450088484472074240,2834753506
1450088484472074240,38055290
1450088484472074240,1129203001
1450088484472074240,87898022
1449795173521805317,2834753506
1449795173521805317,268824309
1449795173521805317,95209129
1448063159970013188,845487573011173380
1448059703058124803,785448020628430849
1447578403411042310,77283552
1447578403411042310,38055290
1447578403411042310,785448020628430849
1447578403411042310,34506336
1447578403411042310,242798024
1446874789210112003,845487573011173380
1446874789210112003,785448020628430849
1446874789210112003,138077463
1446874789210112003,18519855
1446514939250761734,845487573011173380
1446514939250761734,138077463
1446514939250761734,268824309
1446514939250761734,77283552
1446514939250761734,2439928526
1446464822170751010,1169378542737661954
1446464822170751010,299228245
1446464822170751010,785448020628430849
1446464822170751010,2369365718
1446464822170751010,77283552
1446464822170751010,1373493122
1446108053716221954,2834753506
1446108053716221954,999476893970763777
1446108053716221954,785448020628430849
1446108053716221954,120320139
1446108053716221954,84734389
1446108053716221954,15407637
1446108053716221954,1301967293849755653
1446108053716221954,268824309
1446108053716221954,324602007
1446108053716221954,292667439
1446108053716221954,522345885
1445444939337191431,120320139
1445384541284274176,12599562
1445384541284274176,120320139
1445384541284274176,77283552
1445032628592291845,4856851754
1445032628592291845,299228245
1445032628592291845,1248842158553141250
1445032628592291845,3303438653
1445032628592291845,2834753506
1445032628592291845,1129203001
1445032628592291845,2813664079
1445032628592291845,268824309
1445032628592291845,138077463
1445032628592291845,14518712
1445032628592291845,18519855
1443965010758283269,299228245
1443965010758283269,1169378542737661954
1443965010758283269,95209129
1443580161727684611,120320139
1443255741301903364,119797208
1443255741301903364,201984482
1442842259385462789,38055290
1442591556159029248,95209129
1451548164809543683,273866823
1451548160761991169,273866823
1451548159071633433,273866823
1451542641108205577,988277286204932096
1451542641108205577,1382793386
1451542641108205577,273866823
